shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
zenbus:Route:658110002:LOC,45.888427,-73.758003,0,0
zenbus:Route:658110002:LOC,45.88842,-73.758003,1,1
zenbus:Route:658110002:LOC,45.887691,-73.75798,2,82
zenbus:Route:658110002:LOC,45.886569,-73.757911,3,207
zenbus:Route:658110002:LOC,45.880638,-73.757667,4,867
zenbus:Route:658110002:LOC,45.878963,-73.757606,5,1053
zenbus:Route:658110002:LOC,45.878074,-73.757568,6,1152
zenbus:Route:658110002:LOC,45.875766,-73.757453,7,1409
zenbus:Route:658110002:LOC,45.867565,-73.757118,8,2321
zenbus:Route:658110002:LOC,45.866762,-73.757095,9,2410
zenbus:Route:658110002:LOC,45.866753,-73.757095,10,2411
zenbus:Route:658110002:LOC,45.866749,-73.757096,11,2412
zenbus:Route:658110002:LOC,45.864313,-73.757143,12,2682
zenbus:Route:658110002:LOC,45.861875,-73.75717,13,2954
zenbus:Route:658110002:LOC,45.86187,-73.75717,14,2954
zenbus:Route:658110002:LOC,45.861486,-73.757167,15,2997
zenbus:Route:658110002:LOC,45.85933,-73.757121,16,3237
zenbus:Route:658110002:LOC,45.859326,-73.757121,17,3237
zenbus:Route:658110002:LOC,45.859325,-73.75712,18,3237
zenbus:Route:658110002:LOC,45.85932,-73.75712,19,3238
zenbus:Route:658110002:LOC,45.85933,-73.75712,20,3239
zenbus:Route:658110002:LOC,45.85932,-73.75712,21,3240
zenbus:Route:658110002:LOC,45.85933,-73.75712,22,3241
zenbus:Route:658110002:LOC,45.85932,-73.75712,23,3242
zenbus:Route:658110002:LOC,45.85933,-73.75712,24,3243
zenbus:Route:658110002:LOC,45.85932,-73.75712,25,3244
zenbus:Route:658110002:LOC,45.85933,-73.75712,26,3245
zenbus:Route:658110002:LOC,45.85932,-73.75712,27,3247
zenbus:Route:658110002:LOC,45.85933,-73.75712,28,3248
zenbus:Route:658110002:LOC,45.85932,-73.75712,29,3249
zenbus:Route:658110002:LOC,45.85891,-73.75711,30,3294
zenbus:Route:658110002:LOC,45.85682,-73.75712,31,3527
zenbus:Route:658110002:LOC,45.854893,-73.757155,32,3741
zenbus:Route:658110002:LOC,45.854893,-73.757156,33,3741
zenbus:Route:658110002:LOC,45.854891,-73.757157,34,3741
zenbus:Route:658110002:LOC,45.854889,-73.757158,35,3742
zenbus:Route:658110002:LOC,45.854887,-73.757158,36,3742
zenbus:Route:658110002:LOC,45.854887,-73.757159,37,3742
zenbus:Route:658110002:LOC,45.852282,-73.757181,38,4032
zenbus:Route:658110002:LOC,45.851599,-73.757205,39,4108
zenbus:Route:658110002:LOC,45.850984,-73.757246,40,4176
zenbus:Route:658110002:LOC,45.850845,-73.757254,41,4192
zenbus:Route:658110002:LOC,45.850839,-73.757255,42,4192
zenbus:Route:658110002:LOC,45.850831,-73.757257,43,4193
zenbus:Route:658110002:LOC,45.850787,-73.757258,44,4198
zenbus:Route:658110002:LOC,45.850385,-73.757268,45,4243
zenbus:Route:658110002:LOC,45.849875,-73.757293,46,4299
zenbus:Route:658110002:LOC,45.84941,-73.75731,47,4351
zenbus:Route:658110002:LOC,45.848409,-73.757327,48,4462
zenbus:Route:658110002:LOC,45.848019,-73.75734,49,4506
zenbus:Route:658110002:LOC,45.847652,-73.75735,50,4547
zenbus:Route:658110002:LOC,45.84763,-73.75735,51,4549
zenbus:Route:658110002:LOC,45.847624,-73.75735,52,4550
